Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Java Request,453021,8,0,320413,630.10,0.000%,621.19110,895.01,0.00,1475.4
TOTAL,453021,8,0,320413,630.10,0.000%,621.19110,895.01,0.00,1475.4
